[2023-08-15 12:01:25][__main__.py][L41][INFO]dataset:
  name: fc_large
  batch_size: 16
  train_set: 0.8
  val_set: 0.1
  test_set: 0.1
  fc_path: /mnt/ssd1/mehul_data/research/fc_large_data.npy
  drop_last: true
  stratified: true
  node_sz: 400
  node_feature_sz: 400
  num_classes: 2
  perc_edges: 100
model:
  name: GCN
  num_layers: 2
  hidden_size: 64
  dropout: 0.5
  readout: mean
optimizer:
- name: Adam
  lr: 0.0001
  match_rule: None
  except_rule: None
  no_weight_decay: false
  weight_decay: 0.0001
  lr_scheduler:
    mode: poly
    base_lr: 0.0001
    target_lr: 1.0e-05
    decay_factor: 0.1
    milestones:
    - 0.3
    - 0.6
    - 0.9
    poly_power: 2.0
    lr_decay: 0.98
    warm_up_from: 0.0
    warm_up_steps: 0
training:
  name: Train
  epochs: 100
  l2: 0.0
log_path: result
repeat_time: 3
device: cuda:0
is_wandb: true
project: asd-graph
[2023-08-15 12:01:25][__init__.py][L15][INFO]cfg.dataset.name: fc_large
GCN(
  (convs): ModuleList(
    (0): GCNConv(400, 64)
    (1): GCNConv(64, 64)
  )
  (lincomb): Linear(in_features=25600, out_features=64, bias=True)
  (lin): Linear(in_features=64, out_features=1, bias=True)
)
[2023-08-15 12:01:33][optimizer.py][L66][INFO]Parameters [normal] length [8]
[2023-08-15 12:01:33][__init__.py][L25][INFO]Training: Train
[2023-08-15 12:01:33][Train.py][L35][INFO]#model params: 1668353
Starting training...
[2023-08-15 12:01:34][Train.py][L153][INFO]Epoch[1/100] | Train Loss: 0.694 | Train Accuracy: 49.769% | Test Loss: 0.683 | Test Accuracy: 59.756% | Best Test Accuracy: 59.756% | Test AUC:0.5560 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5976 | Test Recall:0.5976 | Test Precision:0.5976 | LR:0.0000982
[2023-08-15 12:01:35][Train.py][L153][INFO]Epoch[2/100] | Train Loss: 0.691 | Train Accuracy: 53.159% | Test Loss: 0.677 | Test Accuracy: 59.756% | Best Test Accuracy: 59.756% | Test AUC:0.5609 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5976 | Test Recall:0.5976 | Test Precision:0.5976 | LR:0.0000964
[2023-08-15 12:01:37][Train.py][L153][INFO]Epoch[3/100] | Train Loss: 0.688 | Train Accuracy: 53.775% | Test Loss: 0.687 | Test Accuracy: 60.976% | Best Test Accuracy: 60.976% | Test AUC:0.5720 | Test Sen:0.0303 | Test Spe:1.0000 | Test F1:0.6098 | Test Recall:0.6098 | Test Precision:0.6098 | LR:0.0000947
[2023-08-15 12:01:38][Train.py][L153][INFO]Epoch[4/100] | Train Loss: 0.686 | Train Accuracy: 58.552% | Test Loss: 0.683 | Test Accuracy: 59.756% | Best Test Accuracy: 60.976% | Test AUC:0.5646 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5976 | Test Recall:0.5976 | Test Precision:0.5976 | LR:0.0000929
[2023-08-15 12:01:39][Train.py][L153][INFO]Epoch[5/100] | Train Loss: 0.682 | Train Accuracy: 53.621% | Test Loss: 0.679 | Test Accuracy: 59.756% | Best Test Accuracy: 60.976% | Test AUC:0.5677 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5976 | Test Recall:0.5976 | Test Precision:0.5976 | LR:0.0000912
[2023-08-15 12:01:40][Train.py][L153][INFO]Epoch[6/100] | Train Loss: 0.680 | Train Accuracy: 55.316% | Test Loss: 0.681 | Test Accuracy: 59.756% | Best Test Accuracy: 60.976% | Test AUC:0.5720 | Test Sen:0.0909 | Test Spe:0.9388 | Test F1:0.5976 | Test Recall:0.5976 | Test Precision:0.5976 | LR:0.0000895
[2023-08-15 12:01:41][Train.py][L153][INFO]Epoch[7/100] | Train Loss: 0.676 | Train Accuracy: 58.089% | Test Loss: 0.678 | Test Accuracy: 59.756% | Best Test Accuracy: 60.976% | Test AUC:0.5597 | Test Sen:0.0606 | Test Spe:0.9592 | Test F1:0.5976 | Test Recall:0.5976 | Test Precision:0.5976 | LR:0.0000878
[2023-08-15 12:01:42][Train.py][L153][INFO]Epoch[8/100] | Train Loss: 0.671 | Train Accuracy: 57.319% | Test Loss: 0.691 | Test Accuracy: 51.220% | Best Test Accuracy: 60.976% | Test AUC:0.5646 | Test Sen:0.6061 | Test Spe:0.4490 | Test F1:0.5122 | Test Recall:0.5122 | Test Precision:0.5122 | LR:0.0000862
[2023-08-15 12:01:44][Train.py][L153][INFO]Epoch[9/100] | Train Loss: 0.667 | Train Accuracy: 63.328% | Test Loss: 0.674 | Test Accuracy: 60.976% | Best Test Accuracy: 60.976% | Test AUC:0.5622 | Test Sen:0.0909 | Test Spe:0.9592 | Test F1:0.6098 | Test Recall:0.6098 | Test Precision:0.6098 | LR:0.0000845
[2023-08-15 12:01:45][Train.py][L153][INFO]Epoch[10/100] | Train Loss: 0.660 | Train Accuracy: 64.099% | Test Loss: 0.671 | Test Accuracy: 58.537% | Best Test Accuracy: 60.976% | Test AUC:0.5677 | Test Sen:0.0909 | Test Spe:0.9184 | Test F1:0.5854 | Test Recall:0.5854 | Test Precision:0.5854 | LR:0.0000829
[2023-08-15 12:01:46][Train.py][L153][INFO]Epoch[11/100] | Train Loss: 0.653 | Train Accuracy: 62.096% | Test Loss: 0.671 | Test Accuracy: 58.537% | Best Test Accuracy: 60.976% | Test AUC:0.5659 | Test Sen:0.1515 | Test Spe:0.8776 | Test F1:0.5854 | Test Recall:0.5854 | Test Precision:0.5854 | LR:0.0000813
