[2023-08-15 12:47:15][__main__.py][L41][INFO]dataset:
  name: fc_200
  batch_size: 16
  train_set: 0.9
  test_set: 0.1
  fc_path: /mnt/ssd1/mehul_data/research/fc_200_data.npy
  node_sz: 200
  node_feature_sz: 200
  num_classes: 2
  perc_edges: 100
model:
  name: GCN
  num_layers: 2
  hidden_size: 64
  dropout: 0.5
  readout: mean
optimizer:
- name: Adam
  lr: 0.0001
  match_rule: None
  except_rule: None
  no_weight_decay: false
  weight_decay: 0.0001
  lr_scheduler:
    mode: poly
    base_lr: 0.0001
    target_lr: 1.0e-05
    decay_factor: 0.1
    milestones:
    - 0.3
    - 0.6
    - 0.9
    poly_power: 2.0
    lr_decay: 0.98
    warm_up_from: 0.0
    warm_up_steps: 0
training:
  name: Train
  epochs: 100
  l2: 0.0
log_path: result
repeat_time: 5
device: cuda:0
is_wandb: true
project: asd-graph

[2023-08-15 12:47:15][__init__.py][L15][INFO]cfg.dataset.name: fc_200
[2023-08-15 12:47:17][optimizer.py][L66][INFO]Parameters [normal] length [8]
[2023-08-15 12:47:17][__init__.py][L25][INFO]Training: Train
[2023-08-15 12:47:17][Train.py][L35][INFO]#model params: 836353
[2023-08-15 12:47:17][Train.py][L153][INFO]Epoch[1/100] | Train Loss: 0.693 | Train Accuracy: 52.603% | Test Loss: 0.690 | Test Accuracy: 53.659% | Best Test Accuracy: 53.659% | Test AUC:0.6776 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | LR:0.0000982
[2023-08-15 12:47:18][Train.py][L153][INFO]Epoch[2/100] | Train Loss: 0.691 | Train Accuracy: 52.877% | Test Loss: 0.689 | Test Accuracy: 54.878% | Best Test Accuracy: 54.878% | Test AUC:0.6394 | Test Sen:0.0263 | Test Spe:1.0000 | Test F1:0.5488 | Test Recall:0.5488 | Test Precision:0.5488 | LR:0.0000964
[2023-08-15 12:47:18][Train.py][L153][INFO]Epoch[3/100] | Train Loss: 0.689 | Train Accuracy: 52.877% | Test Loss: 0.687 | Test Accuracy: 54.878% | Best Test Accuracy: 54.878% | Test AUC:0.6322 | Test Sen:0.0263 | Test Spe:1.0000 | Test F1:0.5488 | Test Recall:0.5488 | Test Precision:0.5488 | LR:0.0000947
[2023-08-15 12:47:19][Train.py][L153][INFO]Epoch[4/100] | Train Loss: 0.687 | Train Accuracy: 53.425% | Test Loss: 0.684 | Test Accuracy: 54.878% | Best Test Accuracy: 54.878% | Test AUC:0.6262 | Test Sen:0.0263 | Test Spe:1.0000 | Test F1:0.5488 | Test Recall:0.5488 | Test Precision:0.5488 | LR:0.0000929
[2023-08-15 12:47:19][Train.py][L153][INFO]Epoch[5/100] | Train Loss: 0.684 | Train Accuracy: 53.288% | Test Loss: 0.682 | Test Accuracy: 57.317% | Best Test Accuracy: 57.317% | Test AUC:0.6184 | Test Sen:0.1053 | Test Spe:0.9773 | Test F1:0.5732 | Test Recall:0.5732 | Test Precision:0.5732 | LR:0.0000912
[2023-08-15 12:47:20][Train.py][L153][INFO]Epoch[6/100] | Train Loss: 0.682 | Train Accuracy: 59.315% | Test Loss: 0.680 | Test Accuracy: 57.317% | Best Test Accuracy: 57.317% | Test AUC:0.6154 | Test Sen:0.1053 | Test Spe:0.9773 | Test F1:0.5732 | Test Recall:0.5732 | Test Precision:0.5732 | LR:0.0000895
[2023-08-15 12:47:20][Train.py][L153][INFO]Epoch[7/100] | Train Loss: 0.677 | Train Accuracy: 58.356% | Test Loss: 0.677 | Test Accuracy: 58.537% | Best Test Accuracy: 58.537% | Test AUC:0.6250 | Test Sen:0.1316 | Test Spe:0.9773 | Test F1:0.5854 | Test Recall:0.5854 | Test Precision:0.5854 | LR:0.0000878
[2023-08-15 12:47:21][Train.py][L153][INFO]Epoch[8/100] | Train Loss: 0.673 | Train Accuracy: 60.959% | Test Loss: 0.675 | Test Accuracy: 63.415% | Best Test Accuracy: 63.415% | Test AUC:0.6244 | Test Sen:0.3421 | Test Spe:0.8864 | Test F1:0.6341 | Test Recall:0.6341 | Test Precision:0.6341 | LR:0.0000862
[2023-08-15 12:47:21][Train.py][L153][INFO]Epoch[9/100] | Train Loss: 0.667 | Train Accuracy: 61.918% | Test Loss: 0.671 | Test Accuracy: 62.195% | Best Test Accuracy: 63.415% | Test AUC:0.6280 | Test Sen:0.4474 | Test Spe:0.7727 | Test F1:0.6220 | Test Recall:0.6220 | Test Precision:0.6220 | LR:0.0000845
[2023-08-15 12:47:22][Train.py][L153][INFO]Epoch[10/100] | Train Loss: 0.661 | Train Accuracy: 64.658% | Test Loss: 0.668 | Test Accuracy: 60.976% | Best Test Accuracy: 63.415% | Test AUC:0.6352 | Test Sen:0.4737 | Test Spe:0.7273 | Test F1:0.6098 | Test Recall:0.6098 | Test Precision:0.6098 | LR:0.0000829
[2023-08-15 12:47:22][Train.py][L153][INFO]Epoch[11/100] | Train Loss: 0.654 | Train Accuracy: 66.301% | Test Loss: 0.664 | Test Accuracy: 60.976% | Best Test Accuracy: 63.415% | Test AUC:0.6435 | Test Sen:0.4737 | Test Spe:0.7273 | Test F1:0.6098 | Test Recall:0.6098 | Test Precision:0.6098 | LR:0.0000813
