2023-08-16 11:01:20,705 INFO    MainThread:268434 [wandb_setup.py:_flush():76] Configure stats pid to 268434
2023-08-16 11:01:20,706 INFO    MainThread:268434 [wandb_setup.py:_flush():76] Loading settings from /home/mehul/.config/wandb/settings
2023-08-16 11:01:20,706 INFO    MainThread:268434 [wandb_setup.py:_flush():76] Loading settings from /home/mehul/asd_graph/baselines/multirun/2023-08-16/10-33-53/0/wandb/settings
2023-08-16 11:01:20,706 INFO    MainThread:268434 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-08-16 11:01:20,706 INFO    MainThread:268434 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-08-16 11:01:20,706 WARNING MainThread:268434 [wandb_setup.py:_flush():76] Could not find program at -m source.__main__
2023-08-16 11:01:20,706 INFO    MainThread:268434 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': None, 'program': '-m source.__main__'}
2023-08-16 11:01:20,706 INFO    MainThread:268434 [wandb_init.py:_log_setup():507] Logging user logs to /home/mehul/asd_graph/baselines/multirun/2023-08-16/10-33-53/5/wandb/run-20230816_110120-petaa7vl/logs/debug.log
2023-08-16 11:01:20,706 INFO    MainThread:268434 [wandb_init.py:_log_setup():508] Logging internal logs to /home/mehul/asd_graph/baselines/multirun/2023-08-16/10-33-53/5/wandb/run-20230816_110120-petaa7vl/logs/debug-internal.log
2023-08-16 11:01:20,706 INFO    MainThread:268434 [wandb_init.py:init():547] calling init triggers
2023-08-16 11:01:20,706 INFO    MainThread:268434 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-08-16 11:01:20,706 INFO    MainThread:268434 [wandb_init.py:init():595] starting backend
2023-08-16 11:01:20,706 INFO    MainThread:268434 [wandb_init.py:init():599] setting up manager
2023-08-16 11:01:20,710 INFO    MainThread:268434 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-08-16 11:01:20,711 INFO    MainThread:268434 [wandb_init.py:init():605] backend started and connected
2023-08-16 11:01:20,712 INFO    MainThread:268434 [wandb_init.py:init():695] updated telemetry
2023-08-16 11:01:20,715 INFO    MainThread:268434 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-08-16 11:01:22,242 INFO    MainThread:268434 [wandb_run.py:_on_init():2176] communicating current version
2023-08-16 11:01:22,976 INFO    MainThread:268434 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.15.8 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-08-16 11:01:22,976 INFO    MainThread:268434 [wandb_init.py:init():782] starting run threads in backend
2023-08-16 11:01:25,375 INFO    MainThread:268434 [wandb_run.py:_console_start():2157] atexit reg
2023-08-16 11:01:25,375 INFO    MainThread:268434 [wandb_run.py:_redirect():2012] redirect: 3
2023-08-16 11:01:25,375 INFO    MainThread:268434 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-08-16 11:01:25,375 INFO    MainThread:268434 [wandb_run.py:_redirect():2102] Redirects installed.
2023-08-16 11:01:25,377 INFO    MainThread:268434 [wandb_init.py:init():824] run started, returning control to user process
2023-08-16 11:02:34,334 INFO    MainThread:268434 [wandb_run.py:_finish():1892] finishing run asd-graph/asd-graph/petaa7vl
2023-08-16 11:02:34,334 INFO    MainThread:268434 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 0
2023-08-16 11:02:34,334 INFO    MainThread:268434 [wandb_run.py:_restore():2109] restore
2023-08-16 11:02:34,334 INFO    MainThread:268434 [wandb_run.py:_restore():2115] restore done
2023-08-16 11:02:39,870 INFO    MainThread:268434 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-08-16 11:02:39,871 INFO    MainThread:268434 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-08-16 11:02:39,874 INFO    MainThread:268434 [wandb_run.py:_footer_sync_info():3434] logging synced files
