[2023-08-16 11:44:05][__main__.py][L41][INFO]dataset:
  name: fc_200
  batch_size: 16
  train_set: 0.9
  test_set: 0.1
  fc_path: /mnt/ssd1/mehul_data/research/fc_200_data.npy
  node_sz: 200
  node_feature_sz: 200
  num_classes: 2
  perc_edges: 100
  node: one_hot
model:
  name: GAT
  num_layers: 2
  hidden_size: 64
  dropout: 0.5
  readout: mean
optimizer:
- name: Adam
  lr: 0.0001
  match_rule: None
  except_rule: None
  no_weight_decay: false
  weight_decay: 0.0001
  lr_scheduler:
    mode: poly
    base_lr: 0.0001
    target_lr: 1.0e-05
    decay_factor: 0.1
    milestones:
    - 0.3
    - 0.6
    - 0.9
    poly_power: 2.0
    lr_decay: 0.98
    warm_up_from: 0.0
    warm_up_steps: 0
training:
  name: Train
  epochs: 100
  l2: 0.0
log_path: result
repeat_time: 5
device: cuda:0
is_wandb: true
project: asd-graph
[2023-08-16 11:44:05][__init__.py][L15][INFO]cfg.dataset.name: fc_200
GAT(
  (convs): ModuleList(
    (0): GATConv(200, 64, heads=1)
    (1): GATConv(64, 64, heads=1)
  )
  (readout_lin): Linear(in_features=12800, out_features=64, bias=True)
  (lin): Linear(in_features=64, out_features=1, bias=True)
)
[2023-08-16 11:44:07][optimizer.py][L66][INFO]Parameters [normal] length [12]
[2023-08-16 11:44:07][__init__.py][L25][INFO]Training: Train
[2023-08-16 11:44:07][Train.py][L35][INFO]#model params: 836609
Starting training...
[2023-08-16 11:44:08][Train.py][L163][INFO]Epoch[1/100] | Train Loss: 0.695 | Train Accuracy: 45.890% | Test Loss: 0.692 | Test Accuracy: 53.659% | Test AUC:0.4707 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.4707 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000982
[2023-08-16 11:44:09][Train.py][L163][INFO]Epoch[2/100] | Train Loss: 0.692 | Train Accuracy: 52.603% | Test Loss: 0.690 | Test Accuracy: 53.659% | Test AUC:0.5132 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.4707 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000964
[2023-08-16 11:44:09][Train.py][L163][INFO]Epoch[3/100] | Train Loss: 0.691 | Train Accuracy: 52.877% | Test Loss: 0.690 | Test Accuracy: 54.878% | Test AUC:0.5365 | Test Sen:0.0263 | Test Spe:1.0000 | Test F1:0.5488 | Test Recall:0.5488 | Test Precision:0.5488 | Best Test Accuracy: 54.878% | Best Test AUC:0.5365 | Best Test Sensitivity:0.0263 | Best Test Specificity:1.0000 | LR:0.0000947
[2023-08-16 11:44:10][Train.py][L163][INFO]Epoch[4/100] | Train Loss: 0.689 | Train Accuracy: 52.877% | Test Loss: 0.688 | Test Accuracy: 54.878% | Test AUC:0.5443 | Test Sen:0.0263 | Test Spe:1.0000 | Test F1:0.5488 | Test Recall:0.5488 | Test Precision:0.5488 | Best Test Accuracy: 54.878% | Best Test AUC:0.5365 | Best Test Sensitivity:0.0263 | Best Test Specificity:1.0000 | LR:0.0000929
[2023-08-16 11:44:11][Train.py][L163][INFO]Epoch[5/100] | Train Loss: 0.689 | Train Accuracy: 52.877% | Test Loss: 0.687 | Test Accuracy: 54.878% | Test AUC:0.5461 | Test Sen:0.0263 | Test Spe:1.0000 | Test F1:0.5488 | Test Recall:0.5488 | Test Precision:0.5488 | Best Test Accuracy: 54.878% | Best Test AUC:0.5365 | Best Test Sensitivity:0.0263 | Best Test Specificity:1.0000 | LR:0.0000912
[2023-08-16 11:44:11][Train.py][L163][INFO]Epoch[6/100] | Train Loss: 0.687 | Train Accuracy: 55.342% | Test Loss: 0.686 | Test Accuracy: 54.878% | Test AUC:0.5472 | Test Sen:0.0263 | Test Spe:1.0000 | Test F1:0.5488 | Test Recall:0.5488 | Test Precision:0.5488 | Best Test Accuracy: 54.878% | Best Test AUC:0.5365 | Best Test Sensitivity:0.0263 | Best Test Specificity:1.0000 | LR:0.0000895
[2023-08-16 11:44:12][Train.py][L163][INFO]Epoch[7/100] | Train Loss: 0.687 | Train Accuracy: 52.877% | Test Loss: 0.686 | Test Accuracy: 54.878% | Test AUC:0.5562 | Test Sen:0.0263 | Test Spe:1.0000 | Test F1:0.5488 | Test Recall:0.5488 | Test Precision:0.5488 | Best Test Accuracy: 54.878% | Best Test AUC:0.5365 | Best Test Sensitivity:0.0263 | Best Test Specificity:1.0000 | LR:0.0000878
[2023-08-16 11:44:13][Train.py][L163][INFO]Epoch[8/100] | Train Loss: 0.685 | Train Accuracy: 53.836% | Test Loss: 0.686 | Test Accuracy: 58.537% | Test AUC:0.5616 | Test Sen:0.2105 | Test Spe:0.9091 | Test F1:0.5854 | Test Recall:0.5854 | Test Precision:0.5854 | Best Test Accuracy: 58.537% | Best Test AUC:0.5616 | Best Test Sensitivity:0.2105 | Best Test Specificity:0.9091 | LR:0.0000862
[2023-08-16 11:44:13][Train.py][L163][INFO]Epoch[9/100] | Train Loss: 0.683 | Train Accuracy: 61.233% | Test Loss: 0.684 | Test Accuracy: 54.878% | Test AUC:0.5688 | Test Sen:0.0263 | Test Spe:1.0000 | Test F1:0.5488 | Test Recall:0.5488 | Test Precision:0.5488 | Best Test Accuracy: 58.537% | Best Test AUC:0.5616 | Best Test Sensitivity:0.2105 | Best Test Specificity:0.9091 | LR:0.0000845
[2023-08-16 11:44:14][Train.py][L163][INFO]Epoch[10/100] | Train Loss: 0.682 | Train Accuracy: 53.425% | Test Loss: 0.685 | Test Accuracy: 58.537% | Test AUC:0.5682 | Test Sen:0.3158 | Test Spe:0.8182 | Test F1:0.5854 | Test Recall:0.5854 | Test Precision:0.5854 | Best Test Accuracy: 58.537% | Best Test AUC:0.5616 | Best Test Sensitivity:0.2105 | Best Test Specificity:0.9091 | LR:0.0000829
[2023-08-16 11:44:15][Train.py][L163][INFO]Epoch[11/100] | Train Loss: 0.682 | Train Accuracy: 59.178% | Test Loss: 0.685 | Test Accuracy: 57.317% | Test AUC:0.5742 | Test Sen:0.6316 | Test Spe:0.5227 | Test F1:0.5732 | Test Recall:0.5732 | Test Precision:0.5732 | Best Test Accuracy: 58.537% | Best Test AUC:0.5616 | Best Test Sensitivity:0.2105 | Best Test Specificity:0.9091 | LR:0.0000813
