[2023-08-16 12:43:27][__main__.py][L41][INFO]dataset:
  name: fc_bnt
  batch_size: 16
  train_set: 0.9
  test_set: 0.1
  fc_path: /mnt/ssd1/mehul_data/research/fc_bnt_data.npy
  node_sz: 200
  node_feature_sz: 200
  num_classes: 2
  perc_edges: 100
  node: one_hot
model:
  name: GraphSAGE
  num_layers: 2
  hidden_size: 64
  dropout: 0.5
  readout: mean
  edge_percentage: 0.1
optimizer:
- name: Adam
  lr: 0.0001
  match_rule: None
  except_rule: None
  no_weight_decay: false
  weight_decay: 0.0001
  lr_scheduler:
    mode: poly
    base_lr: 0.0001
    target_lr: 1.0e-05
    decay_factor: 0.1
    milestones:
    - 0.3
    - 0.6
    - 0.9
    poly_power: 2.0
    lr_decay: 0.98
    warm_up_from: 0.0
    warm_up_steps: 0
training:
  name: Train
  epochs: 100
  l2: 0.0
log_path: result
repeat_time: 5
device: cuda:0
is_wandb: true
project: asd-graph
steps_per_epoch: 57.0
total_steps: 5700.0
[2023-08-16 12:43:27][__init__.py][L15][INFO]cfg.dataset.name: fc_bnt
GraphSAGE(
  (convs): ModuleList(
    (0): SAGEConv(200, 64, aggr=mean)
    (1): SAGEConv(64, 64, aggr=mean)
  )
  (readout_lin): Linear(in_features=12800, out_features=64, bias=True)
  (lin): Linear(in_features=64, out_features=1, bias=True)
)
[2023-08-16 12:43:29][optimizer.py][L66][INFO]Parameters [normal] length [10]
[2023-08-16 12:43:29][__init__.py][L25][INFO]Training: Train
[2023-08-16 12:43:29][Train.py][L35][INFO]#model params: 853249
Starting training...
[2023-08-16 12:43:30][Train.py][L163][INFO]Epoch[1/100] | Train Loss: 0.710 | Train Accuracy: 48.348% | Test Loss: 0.694 | Test Accuracy: 48.515% | Test AUC:0.5553 | Test Sen:1.0000 | Test Spe:0.0000 | Test F1:0.4851 | Test Recall:0.4851 | Test Precision:0.4851 | Best Test Accuracy: 48.515% | Best Test AUC:0.5553 | Best Test Sensitivity:1.0000 | Best Test Specificity:0.0000 | LR:0.0000982
[2023-08-16 12:43:31][Train.py][L163][INFO]Epoch[2/100] | Train Loss: 0.704 | Train Accuracy: 48.458% | Test Loss: 0.702 | Test Accuracy: 48.515% | Test AUC:0.6001 | Test Sen:1.0000 | Test Spe:0.0000 | Test F1:0.4851 | Test Recall:0.4851 | Test Precision:0.4851 | Best Test Accuracy: 48.515% | Best Test AUC:0.5553 | Best Test Sensitivity:1.0000 | Best Test Specificity:0.0000 | LR:0.0000964
[2023-08-16 12:43:32][Train.py][L163][INFO]Epoch[3/100] | Train Loss: 0.696 | Train Accuracy: 52.093% | Test Loss: 0.702 | Test Accuracy: 51.485% | Test AUC:0.6193 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5149 | Test Recall:0.5149 | Test Precision:0.5149 | Best Test Accuracy: 51.485% | Best Test AUC:0.6193 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000947
[2023-08-16 12:43:33][Train.py][L163][INFO]Epoch[4/100] | Train Loss: 0.691 | Train Accuracy: 53.194% | Test Loss: 0.715 | Test Accuracy: 48.515% | Test AUC:0.6240 | Test Sen:1.0000 | Test Spe:0.0000 | Test F1:0.4851 | Test Recall:0.4851 | Test Precision:0.4851 | Best Test Accuracy: 51.485% | Best Test AUC:0.6193 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000929
[2023-08-16 12:43:34][Train.py][L163][INFO]Epoch[5/100] | Train Loss: 0.686 | Train Accuracy: 56.388% | Test Loss: 0.718 | Test Accuracy: 48.515% | Test AUC:0.6201 | Test Sen:1.0000 | Test Spe:0.0000 | Test F1:0.4851 | Test Recall:0.4851 | Test Precision:0.4851 | Best Test Accuracy: 51.485% | Best Test AUC:0.6193 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000912
[2023-08-16 12:43:34][Train.py][L163][INFO]Epoch[6/100] | Train Loss: 0.684 | Train Accuracy: 61.013% | Test Loss: 0.698 | Test Accuracy: 48.515% | Test AUC:0.6283 | Test Sen:1.0000 | Test Spe:0.0000 | Test F1:0.4851 | Test Recall:0.4851 | Test Precision:0.4851 | Best Test Accuracy: 51.485% | Best Test AUC:0.6193 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000895
[2023-08-16 12:43:35][Train.py][L163][INFO]Epoch[7/100] | Train Loss: 0.679 | Train Accuracy: 57.709% | Test Loss: 0.687 | Test Accuracy: 51.485% | Test AUC:0.6346 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5149 | Test Recall:0.5149 | Test Precision:0.5149 | Best Test Accuracy: 51.485% | Best Test AUC:0.6193 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000878
[2023-08-16 12:43:36][Train.py][L163][INFO]Epoch[8/100] | Train Loss: 0.669 | Train Accuracy: 56.828% | Test Loss: 0.684 | Test Accuracy: 59.406% | Test AUC:0.6338 | Test Sen:0.2653 | Test Spe:0.9038 | Test F1:0.5941 | Test Recall:0.5941 | Test Precision:0.5941 | Best Test Accuracy: 59.406% | Best Test AUC:0.6338 | Best Test Sensitivity:0.2653 | Best Test Specificity:0.9038 | LR:0.0000862
[2023-08-16 12:43:37][Train.py][L163][INFO]Epoch[9/100] | Train Loss: 0.659 | Train Accuracy: 64.427% | Test Loss: 0.681 | Test Accuracy: 53.465% | Test AUC:0.6346 | Test Sen:0.6735 | Test Spe:0.4038 | Test F1:0.5347 | Test Recall:0.5347 | Test Precision:0.5347 | Best Test Accuracy: 59.406% | Best Test AUC:0.6338 | Best Test Sensitivity:0.2653 | Best Test Specificity:0.9038 | LR:0.0000845
[2023-08-16 12:43:38][Train.py][L163][INFO]Epoch[10/100] | Train Loss: 0.641 | Train Accuracy: 68.392% | Test Loss: 0.679 | Test Accuracy: 58.416% | Test AUC:0.6374 | Test Sen:0.2653 | Test Spe:0.8846 | Test F1:0.5842 | Test Recall:0.5842 | Test Precision:0.5842 | Best Test Accuracy: 59.406% | Best Test AUC:0.6338 | Best Test Sensitivity:0.2653 | Best Test Specificity:0.9038 | LR:0.0000829
[2023-08-16 12:43:38][Train.py][L163][INFO]Epoch[11/100] | Train Loss: 0.627 | Train Accuracy: 66.520% | Test Loss: 0.679 | Test Accuracy: 53.465% | Test AUC:0.6295 | Test Sen:0.7347 | Test Spe:0.3462 | Test F1:0.5347 | Test Recall:0.5347 | Test Precision:0.5347 | Best Test Accuracy: 59.406% | Best Test AUC:0.6338 | Best Test Sensitivity:0.2653 | Best Test Specificity:0.9038 | LR:0.0000813
