[2023-08-16 13:09:42][__main__.py][L41][INFO]dataset:
  name: fc_200
  batch_size: 16
  train_set: 0.9
  test_set: 0.1
  fc_path: /mnt/ssd1/mehul_data/research/fc_200_data.npy
  node_sz: 200
  node_feature_sz: 200
  num_classes: 2
  perc_edges: 100
  node: one_hot
model:
  name: GraphSAGE
  num_layers: 2
  hidden_size: 64
  dropout: 0.5
  readout: mean
  edge_percentage: 0.1
optimizer:
- name: Adam
  lr: 0.0001
  match_rule: None
  except_rule: None
  no_weight_decay: false
  weight_decay: 0.0001
  lr_scheduler:
    mode: poly
    base_lr: 0.0001
    target_lr: 1.0e-05
    decay_factor: 0.1
    milestones:
    - 0.3
    - 0.6
    - 0.9
    poly_power: 2.0
    lr_decay: 0.98
    warm_up_from: 0.0
    warm_up_steps: 0
training:
  name: Train
  epochs: 100
  l2: 0.0
log_path: result
repeat_time: 5
device: cuda:0
is_wandb: true
project: asd-graph
steps_per_epoch: 46.0
total_steps: 4600.0
[2023-08-16 13:09:42][__init__.py][L15][INFO]cfg.dataset.name: fc_200
GraphSAGE(
  (convs): ModuleList(
    (0): SAGEConv(200, 64, aggr=mean)
    (1): SAGEConv(64, 64, aggr=mean)
  )
  (readout_lin): Linear(in_features=12800, out_features=64, bias=True)
  (lin): Linear(in_features=64, out_features=1, bias=True)
)
[2023-08-16 13:09:44][optimizer.py][L66][INFO]Parameters [normal] length [10]
[2023-08-16 13:09:44][__init__.py][L25][INFO]Training: Train
[2023-08-16 13:09:44][Train.py][L35][INFO]#model params: 853249
Starting training...
[2023-08-16 13:09:44][Train.py][L163][INFO]Epoch[1/100] | Train Loss: 0.706 | Train Accuracy: 47.671% | Test Loss: 0.706 | Test Accuracy: 53.659% | Test AUC:0.6758 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.6758 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000982
[2023-08-16 13:09:45][Train.py][L163][INFO]Epoch[2/100] | Train Loss: 0.698 | Train Accuracy: 49.589% | Test Loss: 0.691 | Test Accuracy: 53.659% | Test AUC:0.6848 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.6758 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000964
[2023-08-16 13:09:46][Train.py][L163][INFO]Epoch[3/100] | Train Loss: 0.702 | Train Accuracy: 47.260% | Test Loss: 0.690 | Test Accuracy: 53.659% | Test AUC:0.6740 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.6758 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000947
[2023-08-16 13:09:46][Train.py][L163][INFO]Epoch[4/100] | Train Loss: 0.692 | Train Accuracy: 51.370% | Test Loss: 0.690 | Test Accuracy: 53.659% | Test AUC:0.6711 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.6758 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000929
[2023-08-16 13:09:47][Train.py][L163][INFO]Epoch[5/100] | Train Loss: 0.701 | Train Accuracy: 49.452% | Test Loss: 0.689 | Test Accuracy: 53.659% | Test AUC:0.6657 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.6758 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000912
[2023-08-16 13:09:47][Train.py][L163][INFO]Epoch[6/100] | Train Loss: 0.690 | Train Accuracy: 52.740% | Test Loss: 0.690 | Test Accuracy: 53.659% | Test AUC:0.6603 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.6758 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000895
[2023-08-16 13:09:48][Train.py][L163][INFO]Epoch[7/100] | Train Loss: 0.688 | Train Accuracy: 55.479% | Test Loss: 0.691 | Test Accuracy: 53.659% | Test AUC:0.6651 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.6758 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000878
[2023-08-16 13:09:49][Train.py][L163][INFO]Epoch[8/100] | Train Loss: 0.692 | Train Accuracy: 52.055% | Test Loss: 0.688 | Test Accuracy: 53.659% | Test AUC:0.6543 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.6758 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000862
[2023-08-16 13:09:49][Train.py][L163][INFO]Epoch[9/100] | Train Loss: 0.688 | Train Accuracy: 54.521% | Test Loss: 0.687 | Test Accuracy: 53.659% | Test AUC:0.6573 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.6758 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000845
[2023-08-16 13:09:50][Train.py][L163][INFO]Epoch[10/100] | Train Loss: 0.684 | Train Accuracy: 60.274% | Test Loss: 0.685 | Test Accuracy: 53.659% | Test AUC:0.6567 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5366 | Test Recall:0.5366 | Test Precision:0.5366 | Best Test Accuracy: 53.659% | Best Test AUC:0.6758 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000829
[2023-08-16 13:09:51][Train.py][L163][INFO]Epoch[11/100] | Train Loss: 0.680 | Train Accuracy: 54.110% | Test Loss: 0.689 | Test Accuracy: 52.439% | Test AUC:0.6597 | Test Sen:0.9737 | Test Spe:0.1364 | Test F1:0.5244 | Test Recall:0.5244 | Test Precision:0.5244 | Best Test Accuracy: 53.659% | Best Test AUC:0.6758 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000813
[2023-08-16 13:09:51][Train.py][L163][INFO]Epoch[12/100] | Train Loss: 0.681 | Train Accuracy: 55.342% | Test Loss: 0.683 | Test Accuracy: 59.756% | Test AUC:0.6591 | Test Sen:0.1579 | Test Spe:0.9773 | Test F1:0.5976 | Test Recall:0.5976 | Test Precision:0.5976 | Best Test Accuracy: 59.756% | Best Test AUC:0.6591 | Best Test Sensitivity:0.1579 | Best Test Specificity:0.9773 | LR:0.0000797
[2023-08-16 13:09:52][Train.py][L163][INFO]Epoch[13/100] | Train Loss: 0.678 | Train Accuracy: 56.849% | Test Loss: 0.683 | Test Accuracy: 56.098% | Test AUC:0.6591 | Test Sen:0.5526 | Test Spe:0.5682 | Test F1:0.5610 | Test Recall:0.5610 | Test Precision:0.5610 | Best Test Accuracy: 59.756% | Best Test AUC:0.6591 | Best Test Sensitivity:0.1579 | Best Test Specificity:0.9773 | LR:0.0000781
[2023-08-16 13:09:53][Train.py][L163][INFO]Epoch[14/100] | Train Loss: 0.671 | Train Accuracy: 61.918% | Test Loss: 0.679 | Test Accuracy: 65.854% | Test AUC:0.6639 | Test Sen:0.3947 | Test Spe:0.8864 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 65.854% | Best Test AUC:0.6639 | Best Test Sensitivity:0.3947 | Best Test Specificity:0.8864 | LR:0.0000766
[2023-08-16 13:09:53][Train.py][L163][INFO]Epoch[15/100] | Train Loss: 0.669 | Train Accuracy: 68.356% | Test Loss: 0.675 | Test Accuracy: 65.854% | Test AUC:0.6627 | Test Sen:0.3421 | Test Spe:0.9318 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 65.854% | Best Test AUC:0.6639 | Best Test Sensitivity:0.3947 | Best Test Specificity:0.8864 | LR:0.0000750
[2023-08-16 13:09:54][Train.py][L163][INFO]Epoch[16/100] | Train Loss: 0.658 | Train Accuracy: 63.425% | Test Loss: 0.679 | Test Accuracy: 56.098% | Test AUC:0.6639 | Test Sen:0.8158 | Test Spe:0.3409 | Test F1:0.5610 | Test Recall:0.5610 | Test Precision:0.5610 | Best Test Accuracy: 65.854% | Best Test AUC:0.6639 | Best Test Sensitivity:0.3947 | Best Test Specificity:0.8864 | LR:0.0000735
[2023-08-16 13:09:55][Train.py][L163][INFO]Epoch[17/100] | Train Loss: 0.653 | Train Accuracy: 70.000% | Test Loss: 0.668 | Test Accuracy: 67.073% | Test AUC:0.6639 | Test Sen:0.4211 | Test Spe:0.8864 | Test F1:0.6707 | Test Recall:0.6707 | Test Precision:0.6707 | Best Test Accuracy: 67.073% | Best Test AUC:0.6639 | Best Test Sensitivity:0.4211 | Best Test Specificity:0.8864 | LR:0.0000720
[2023-08-16 13:09:55][Train.py][L163][INFO]Epoch[18/100] | Train Loss: 0.643 | Train Accuracy: 69.041% | Test Loss: 0.663 | Test Accuracy: 64.634% | Test AUC:0.6711 | Test Sen:0.4474 | Test Spe:0.8182 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 67.073% | Best Test AUC:0.6639 | Best Test Sensitivity:0.4211 | Best Test Specificity:0.8864 | LR:0.0000705
[2023-08-16 13:09:56][Train.py][L163][INFO]Epoch[19/100] | Train Loss: 0.633 | Train Accuracy: 66.164% | Test Loss: 0.664 | Test Accuracy: 56.098% | Test AUC:0.6734 | Test Sen:0.7105 | Test Spe:0.4318 | Test F1:0.5610 | Test Recall:0.5610 | Test Precision:0.5610 | Best Test Accuracy: 67.073% | Best Test AUC:0.6639 | Best Test Sensitivity:0.4211 | Best Test Specificity:0.8864 | LR:0.0000690
