[2023-08-16 19:23:39][__main__.py][L41][INFO]dataset:
  name: fc_small
  batch_size: 16
  train_set: 0.9
  test_set: 0.1
  fc_path: /mnt/ssd1/mehul_data/research/fc_small_data.npy
  node_sz: 400
  node_feature_sz: 400
  num_classes: 2
  perc_edges: 100
  node: fc
model:
  name: GraphSAGE
  num_layers: 2
  hidden_size: 64
  dropout: 0.5
  readout: mean
  edge_percentage: 0.1
optimizer:
- name: Adam
  lr: 0.0001
  match_rule: None
  except_rule: None
  no_weight_decay: false
  weight_decay: 0.0001
  lr_scheduler:
    mode: poly
    base_lr: 0.0001
    target_lr: 1.0e-05
    decay_factor: 0.1
    milestones:
    - 0.3
    - 0.6
    - 0.9
    poly_power: 2.0
    lr_decay: 0.98
    warm_up_from: 0.0
    warm_up_steps: 0
training:
  name: Train
  epochs: 100
  l2: 0.0
log_path: result
repeat_time: 1
device: cuda:0
is_wandb: true
project: asd-graph
[2023-08-16 19:23:39][__init__.py][L15][INFO]cfg.dataset.name: fc_small
GraphSAGE(
  (convs): ModuleList(
    (0): SAGEConv(400, 64, aggr=mean)
    (1): SAGEConv(64, 64, aggr=mean)
  )
  (readout_lin): Linear(in_features=25600, out_features=64, bias=True)
  (lin): Linear(in_features=64, out_features=1, bias=True)
)
[2023-08-16 19:23:41][optimizer.py][L66][INFO]Parameters [normal] length [10]
[2023-08-16 19:23:41][__init__.py][L25][INFO]Training: Train
[2023-08-16 19:23:41][Train.py][L35][INFO]#model params: 1698049
Starting training...
[2023-08-16 19:23:41][Train.py][L163][INFO]Epoch[1/100] | Train Loss: 0.734 | Train Accuracy: 50.000% | Test Loss: 0.716 | Test Accuracy: 47.619% | Test AUC:0.7182 | Test Sen:1.0000 | Test Spe:0.0000 | Test F1:0.4762 | Test Recall:0.4762 | Test Precision:0.4762 | Best Test Accuracy: 47.619% | Best Test AUC:0.7182 | Best Test Sensitivity:1.0000 | Best Test Specificity:0.0000 | LR:0.0000982
[2023-08-16 19:23:41][Train.py][L163][INFO]Epoch[2/100] | Train Loss: 0.728 | Train Accuracy: 54.348% | Test Loss: 0.667 | Test Accuracy: 52.381% | Test AUC:0.7727 | Test Sen:0.0000 | Test Spe:1.0000 | Test F1:0.5238 | Test Recall:0.5238 | Test Precision:0.5238 | Best Test Accuracy: 52.381% | Best Test AUC:0.7727 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000964
[2023-08-16 19:23:42][Train.py][L163][INFO]Epoch[3/100] | Train Loss: 0.599 | Train Accuracy: 71.196% | Test Loss: 0.740 | Test Accuracy: 47.619% | Test AUC:0.7909 | Test Sen:1.0000 | Test Spe:0.0000 | Test F1:0.4762 | Test Recall:0.4762 | Test Precision:0.4762 | Best Test Accuracy: 52.381% | Best Test AUC:0.7727 | Best Test Sensitivity:0.0000 | Best Test Specificity:1.0000 | LR:0.0000947
[2023-08-16 19:23:42][Train.py][L163][INFO]Epoch[4/100] | Train Loss: 0.604 | Train Accuracy: 63.043% | Test Loss: 0.607 | Test Accuracy: 61.905% | Test AUC:0.7909 | Test Sen:0.4000 | Test Spe:0.8182 | Test F1:0.6190 | Test Recall:0.6190 | Test Precision:0.6190 | Best Test Accuracy: 61.905% | Best Test AUC:0.7909 | Best Test Sensitivity:0.4000 | Best Test Specificity:0.8182 | LR:0.0000929
[2023-08-16 19:23:42][Train.py][L163][INFO]Epoch[5/100] | Train Loss: 0.549 | Train Accuracy: 72.283% | Test Loss: 0.684 | Test Accuracy: 52.381% | Test AUC:0.8000 | Test Sen:1.0000 | Test Spe:0.0909 | Test F1:0.5238 | Test Recall:0.5238 | Test Precision:0.5238 | Best Test Accuracy: 61.905% | Best Test AUC:0.7909 | Best Test Sensitivity:0.4000 | Best Test Specificity:0.8182 | LR:0.0000912
[2023-08-16 19:23:42][Train.py][L163][INFO]Epoch[6/100] | Train Loss: 0.485 | Train Accuracy: 76.087% | Test Loss: 0.563 | Test Accuracy: 71.429% | Test AUC:0.7909 | Test Sen:0.7000 | Test Spe:0.7273 | Test F1:0.7143 | Test Recall:0.7143 | Test Precision:0.7143 | Best Test Accuracy: 71.429% | Best Test AUC:0.7909 | Best Test Sensitivity:0.7000 | Best Test Specificity:0.7273 | LR:0.0000895
[2023-08-16 19:23:43][Train.py][L163][INFO]Epoch[7/100] | Train Loss: 0.415 | Train Accuracy: 89.674% | Test Loss: 0.616 | Test Accuracy: 71.429% | Test AUC:0.7727 | Test Sen:0.9000 | Test Spe:0.5455 | Test F1:0.7143 | Test Recall:0.7143 | Test Precision:0.7143 | Best Test Accuracy: 71.429% | Best Test AUC:0.7909 | Best Test Sensitivity:0.7000 | Best Test Specificity:0.7273 | LR:0.0000878
[2023-08-16 19:23:43][Train.py][L163][INFO]Epoch[8/100] | Train Loss: 0.378 | Train Accuracy: 88.587% | Test Loss: 0.558 | Test Accuracy: 80.952% | Test AUC:0.7727 | Test Sen:0.9000 | Test Spe:0.7273 | Test F1:0.8095 | Test Recall:0.8095 | Test Precision:0.8095 | Best Test Accuracy: 80.952% | Best Test AUC:0.7727 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.7273 | LR:0.0000862
[2023-08-16 19:23:43][Train.py][L163][INFO]Epoch[9/100] | Train Loss: 0.333 | Train Accuracy: 91.304% | Test Loss: 0.539 | Test Accuracy: 71.429% | Test AUC:0.8091 | Test Sen:0.7000 | Test Spe:0.7273 | Test F1:0.7143 | Test Recall:0.7143 | Test Precision:0.7143 | Best Test Accuracy: 80.952% | Best Test AUC:0.7727 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.7273 | LR:0.0000845
[2023-08-16 19:23:44][Train.py][L163][INFO]Epoch[10/100] | Train Loss: 0.281 | Train Accuracy: 94.022% | Test Loss: 0.581 | Test Accuracy: 80.952% | Test AUC:0.8091 | Test Sen:0.9000 | Test Spe:0.7273 | Test F1:0.8095 | Test Recall:0.8095 | Test Precision:0.8095 | Best Test Accuracy: 80.952% | Best Test AUC:0.7727 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.7273 | LR:0.0000829
[2023-08-16 19:23:44][Train.py][L163][INFO]Epoch[11/100] | Train Loss: 0.234 | Train Accuracy: 97.283% | Test Loss: 0.559 | Test Accuracy: 80.952% | Test AUC:0.8091 | Test Sen:0.9000 | Test Spe:0.7273 | Test F1:0.8095 | Test Recall:0.8095 | Test Precision:0.8095 | Best Test Accuracy: 80.952% | Best Test AUC:0.7727 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.7273 | LR:0.0000813
[2023-08-16 19:23:44][Train.py][L163][INFO]Epoch[12/100] | Train Loss: 0.201 | Train Accuracy: 96.739% | Test Loss: 0.563 | Test Accuracy: 76.190% | Test AUC:0.8182 | Test Sen:0.8000 | Test Spe:0.7273 | Test F1:0.7619 | Test Recall:0.7619 | Test Precision:0.7619 | Best Test Accuracy: 80.952% | Best Test AUC:0.7727 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.7273 | LR:0.0000797
[2023-08-16 19:23:45][Train.py][L163][INFO]Epoch[13/100] | Train Loss: 0.180 | Train Accuracy: 97.283% | Test Loss: 0.582 | Test Accuracy: 80.952% | Test AUC:0.8182 | Test Sen:0.9000 | Test Spe:0.7273 | Test F1:0.8095 | Test Recall:0.8095 | Test Precision:0.8095 | Best Test Accuracy: 80.952% | Best Test AUC:0.7727 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.7273 | LR:0.0000781
[2023-08-16 19:23:45][Train.py][L163][INFO]Epoch[14/100] | Train Loss: 0.150 | Train Accuracy: 97.826% | Test Loss: 0.578 | Test Accuracy: 80.952% | Test AUC:0.8182 | Test Sen:0.9000 | Test Spe:0.7273 | Test F1:0.8095 | Test Recall:0.8095 | Test Precision:0.8095 | Best Test Accuracy: 80.952% | Best Test AUC:0.7727 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.7273 | LR:0.0000766
[2023-08-16 19:23:45][Train.py][L163][INFO]Epoch[15/100] | Train Loss: 0.125 | Train Accuracy: 98.913% | Test Loss: 0.608 | Test Accuracy: 80.952% | Test AUC:0.8091 | Test Sen:0.9000 | Test Spe:0.7273 | Test F1:0.8095 | Test Recall:0.8095 | Test Precision:0.8095 | Best Test Accuracy: 80.952% | Best Test AUC:0.7727 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.7273 | LR:0.0000750
[2023-08-16 19:23:46][Train.py][L163][INFO]Epoch[16/100] | Train Loss: 0.106 | Train Accuracy: 99.457% | Test Loss: 0.585 | Test Accuracy: 76.190% | Test AUC:0.8273 | Test Sen:0.8000 | Test Spe:0.7273 | Test F1:0.7619 | Test Recall:0.7619 | Test Precision:0.7619 | Best Test Accuracy: 80.952% | Best Test AUC:0.7727 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.7273 | LR:0.0000735
[2023-08-16 19:23:46][Train.py][L163][INFO]Epoch[17/100] | Train Loss: 0.095 | Train Accuracy: 99.457% | Test Loss: 0.616 | Test Accuracy: 80.952% | Test AUC:0.8091 | Test Sen:0.9000 | Test Spe:0.7273 | Test F1:0.8095 | Test Recall:0.8095 | Test Precision:0.8095 | Best Test Accuracy: 80.952% | Best Test AUC:0.7727 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.7273 | LR:0.0000720
[2023-08-16 19:23:46][Train.py][L163][INFO]Epoch[18/100] | Train Loss: 0.078 | Train Accuracy: 99.457% | Test Loss: 0.617 | Test Accuracy: 76.190% | Test AUC:0.8364 | Test Sen:0.8000 | Test Spe:0.7273 | Test F1:0.7619 | Test Recall:0.7619 | Test Precision:0.7619 | Best Test Accuracy: 80.952% | Best Test AUC:0.7727 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.7273 | LR:0.0000705
[2023-08-16 19:23:47][Train.py][L163][INFO]Epoch[19/100] | Train Loss: 0.069 | Train Accuracy: 98.913% | Test Loss: 0.640 | Test Accuracy: 76.190% | Test AUC:0.8091 | Test Sen:0.8000 | Test Spe:0.7273 | Test F1:0.7619 | Test Recall:0.7619 | Test Precision:0.7619 | Best Test Accuracy: 80.952% | Best Test AUC:0.7727 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.7273 | LR:0.0000690
[2023-08-16 19:23:47][Train.py][L163][INFO]Epoch[20/100] | Train Loss: 0.060 | Train Accuracy: 99.457% | Test Loss: 0.641 | Test Accuracy: 76.190% | Test AUC:0.8091 | Test Sen:0.8000 | Test Spe:0.7273 | Test F1:0.7619 | Test Recall:0.7619 | Test Precision:0.7619 | Best Test Accuracy: 80.952% | Best Test AUC:0.7727 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.7273 | LR:0.0000676
[2023-08-16 19:23:47][Train.py][L163][INFO]Epoch[21/100] | Train Loss: 0.054 | Train Accuracy: 99.457% | Test Loss: 0.656 | Test Accuracy: 76.190% | Test AUC:0.8091 | Test Sen:0.8000 | Test Spe:0.7273 | Test F1:0.7619 | Test Recall:0.7619 | Test Precision:0.7619 | Best Test Accuracy: 80.952% | Best Test AUC:0.7727 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.7273 | LR:0.0000662
[2023-08-16 19:23:47][Train.py][L163][INFO]Epoch[22/100] | Train Loss: 0.048 | Train Accuracy: 98.913% | Test Loss: 0.659 | Test Accuracy: 76.190% | Test AUC:0.8091 | Test Sen:0.8000 | Test Spe:0.7273 | Test F1:0.7619 | Test Recall:0.7619 | Test Precision:0.7619 | Best Test Accuracy: 80.952% | Best Test AUC:0.7727 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.7273 | LR:0.0000648
[2023-08-16 19:23:48][Train.py][L163][INFO]Epoch[23/100] | Train Loss: 0.043 | Train Accuracy: 99.457% | Test Loss: 0.682 | Test Accuracy: 76.190% | Test AUC:0.8091 | Test Sen:0.8000 | Test Spe:0.7273 | Test F1:0.7619 | Test Recall:0.7619 | Test Precision:0.7619 | Best Test Accuracy: 80.952% | Best Test AUC:0.7727 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.7273 | LR:0.0000634
