[2023-08-16 20:34:57][__main__.py][L41][INFO]dataset:
  name: fc_200
  batch_size: 16
  train_set: 0.9
  test_set: 0.1
  fc_path: /mnt/ssd1/mehul_data/research/fc_200_data.npy
  node_sz: 200
  node_feature_sz: 200
  num_classes: 2
  perc_edges: 100
  node: fc
model:
  name: GCN
  num_layers: 2
  hidden_size: 64
  dropout: 0.5
  readout: mean
optimizer:
- name: Adam
  lr: 0.0001
  match_rule: None
  except_rule: None
  no_weight_decay: false
  weight_decay: 0.0001
  lr_scheduler:
    mode: poly
    base_lr: 0.0001
    target_lr: 1.0e-05
    decay_factor: 0.1
    milestones:
    - 0.3
    - 0.6
    - 0.9
    poly_power: 2.0
    lr_decay: 0.98
    warm_up_from: 0.0
    warm_up_steps: 0
training:
  name: Train
  epochs: 100
  l2: 0.0
log_path: result
repeat_time: 4
device: cuda:0
is_wandb: true
project: asd-graph
[2023-08-16 20:34:57][__init__.py][L15][INFO]cfg.dataset.name: fc_200
GCN(
  (convs): ModuleList(
    (0): GCNConv(200, 64)
    (1): GCNConv(64, 64)
  )
  (readout_lin): Linear(in_features=12800, out_features=64, bias=True)
  (lin): Linear(in_features=64, out_features=1, bias=True)
)
[2023-08-16 20:34:59][optimizer.py][L66][INFO]Parameters [normal] length [8]
[2023-08-16 20:34:59][__init__.py][L25][INFO]Training: Train
[2023-08-16 20:34:59][Train.py][L35][INFO]#model params: 836353
Starting training...
[2023-08-16 20:35:00][Train.py][L163][INFO]Epoch[1/100] | Train Loss: 0.702 | Train Accuracy: 53.151% | Test Loss: 0.680 | Test Accuracy: 43.902% | Test AUC:0.6746 | Test Sen:0.8421 | Test Spe:0.0909 | Test F1:0.4390 | Test Recall:0.4390 | Test Precision:0.4390 | Best Test Accuracy: 43.902% | Best Test AUC:0.6746 | Best Test Sensitivity:0.8421 | Best Test Specificity:0.0909 | LR:0.0000982
[2023-08-16 20:35:01][Train.py][L163][INFO]Epoch[2/100] | Train Loss: 0.662 | Train Accuracy: 62.740% | Test Loss: 0.658 | Test Accuracy: 63.415% | Test AUC:0.6687 | Test Sen:0.6579 | Test Spe:0.6136 | Test F1:0.6341 | Test Recall:0.6341 | Test Precision:0.6341 | Best Test Accuracy: 63.415% | Best Test AUC:0.6687 | Best Test Sensitivity:0.6579 | Best Test Specificity:0.6136 | LR:0.0000964
[2023-08-16 20:35:01][Train.py][L163][INFO]Epoch[3/100] | Train Loss: 0.634 | Train Accuracy: 64.932% | Test Loss: 0.655 | Test Accuracy: 63.415% | Test AUC:0.6681 | Test Sen:0.5789 | Test Spe:0.6818 | Test F1:0.6341 | Test Recall:0.6341 | Test Precision:0.6341 | Best Test Accuracy: 63.415% | Best Test AUC:0.6687 | Best Test Sensitivity:0.6579 | Best Test Specificity:0.6136 | LR:0.0000947
[2023-08-16 20:35:02][Train.py][L163][INFO]Epoch[4/100] | Train Loss: 0.618 | Train Accuracy: 68.493% | Test Loss: 0.648 | Test Accuracy: 63.415% | Test AUC:0.6866 | Test Sen:0.7368 | Test Spe:0.5455 | Test F1:0.6341 | Test Recall:0.6341 | Test Precision:0.6341 | Best Test Accuracy: 63.415% | Best Test AUC:0.6687 | Best Test Sensitivity:0.6579 | Best Test Specificity:0.6136 | LR:0.0000929
[2023-08-16 20:35:03][Train.py][L163][INFO]Epoch[5/100] | Train Loss: 0.590 | Train Accuracy: 72.055% | Test Loss: 0.635 | Test Accuracy: 64.634% | Test AUC:0.6974 | Test Sen:0.7105 | Test Spe:0.5909 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 64.634% | Best Test AUC:0.6974 | Best Test Sensitivity:0.7105 | Best Test Specificity:0.5909 | LR:0.0000912
[2023-08-16 20:35:03][Train.py][L163][INFO]Epoch[6/100] | Train Loss: 0.577 | Train Accuracy: 72.192% | Test Loss: 0.639 | Test Accuracy: 68.293% | Test AUC:0.6890 | Test Sen:0.5526 | Test Spe:0.7955 | Test F1:0.6829 | Test Recall:0.6829 | Test Precision:0.6829 | Best Test Accuracy: 68.293% | Best Test AUC:0.6890 | Best Test Sensitivity:0.5526 | Best Test Specificity:0.7955 | LR:0.0000895
[2023-08-16 20:35:04][Train.py][L163][INFO]Epoch[7/100] | Train Loss: 0.558 | Train Accuracy: 73.288% | Test Loss: 0.638 | Test Accuracy: 58.537% | Test AUC:0.7105 | Test Sen:0.7368 | Test Spe:0.4545 | Test F1:0.5854 | Test Recall:0.5854 | Test Precision:0.5854 | Best Test Accuracy: 68.293% | Best Test AUC:0.6890 | Best Test Sensitivity:0.5526 | Best Test Specificity:0.7955 | LR:0.0000878
[2023-08-16 20:35:05][Train.py][L163][INFO]Epoch[8/100] | Train Loss: 0.529 | Train Accuracy: 76.164% | Test Loss: 0.637 | Test Accuracy: 73.171% | Test AUC:0.6998 | Test Sen:0.5526 | Test Spe:0.8864 | Test F1:0.7317 | Test Recall:0.7317 | Test Precision:0.7317 | Best Test Accuracy: 73.171% | Best Test AUC:0.6998 | Best Test Sensitivity:0.5526 | Best Test Specificity:0.8864 | LR:0.0000862
[2023-08-16 20:35:05][Train.py][L163][INFO]Epoch[9/100] | Train Loss: 0.498 | Train Accuracy: 77.945% | Test Loss: 0.624 | Test Accuracy: 62.195% | Test AUC:0.7016 | Test Sen:0.6316 | Test Spe:0.6136 | Test F1:0.6220 | Test Recall:0.6220 | Test Precision:0.6220 | Best Test Accuracy: 73.171% | Best Test AUC:0.6998 | Best Test Sensitivity:0.5526 | Best Test Specificity:0.8864 | LR:0.0000845
[2023-08-16 20:35:06][Train.py][L163][INFO]Epoch[10/100] | Train Loss: 0.479 | Train Accuracy: 80.685% | Test Loss: 0.642 | Test Accuracy: 65.854% | Test AUC:0.6944 | Test Sen:0.6053 | Test Spe:0.7045 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 73.171% | Best Test AUC:0.6998 | Best Test Sensitivity:0.5526 | Best Test Specificity:0.8864 | LR:0.0000829
[2023-08-16 20:35:07][Train.py][L163][INFO]Epoch[11/100] | Train Loss: 0.467 | Train Accuracy: 79.452% | Test Loss: 0.673 | Test Accuracy: 70.732% | Test AUC:0.6920 | Test Sen:0.4737 | Test Spe:0.9091 | Test F1:0.7073 | Test Recall:0.7073 | Test Precision:0.7073 | Best Test Accuracy: 73.171% | Best Test AUC:0.6998 | Best Test Sensitivity:0.5526 | Best Test Specificity:0.8864 | LR:0.0000813
