[2023-08-16 20:39:59][__main__.py][L41][INFO]dataset:
  name: fc_bnt
  batch_size: 16
  train_set: 0.9
  test_set: 0.1
  fc_path: /mnt/ssd1/mehul_data/research/fc_bnt_data.npy
  node_sz: 200
  node_feature_sz: 200
  num_classes: 2
  perc_edges: 100
  node: fc
model:
  name: SignedGCN
  num_layers: 2
  hidden_size: 64
  dropout: 0.5
  readout: mean
optimizer:
- name: Adam
  lr: 0.0001
  match_rule: None
  except_rule: None
  no_weight_decay: false
  weight_decay: 0.0001
  lr_scheduler:
    mode: poly
    base_lr: 0.0001
    target_lr: 1.0e-05
    decay_factor: 0.1
    milestones:
    - 0.3
    - 0.6
    - 0.9
    poly_power: 2.0
    lr_decay: 0.98
    warm_up_from: 0.0
    warm_up_steps: 0
training:
  name: Train
  epochs: 100
  l2: 0.0
log_path: result
repeat_time: 4
device: cuda:0
is_wandb: true
project: asd-graph
[2023-08-16 20:39:59][__init__.py][L15][INFO]cfg.dataset.name: fc_bnt
SignedGCN(
  (convs): ModuleList(
    (0): EdgeWeightedSignedConv(200, 32, first_aggr=True)
    (1): EdgeWeightedSignedConv(64, 32, first_aggr=True)
  )
  (readout_lin): Linear(in_features=12800, out_features=64, bias=True)
  (lin): Linear(in_features=64, out_features=1, bias=True)
)
[2023-08-16 20:40:02][optimizer.py][L66][INFO]Parameters [normal] length [24]
[2023-08-16 20:40:02][__init__.py][L25][INFO]Training: Train
[2023-08-16 20:40:02][Train.py][L35][INFO]#model params: 870273
Starting training...
[2023-08-16 20:40:03][Train.py][L163][INFO]Epoch[1/100] | Train Loss: 0.706 | Train Accuracy: 50.881% | Test Loss: 0.700 | Test Accuracy: 48.515% | Test AUC:0.4580 | Test Sen:1.0000 | Test Spe:0.0000 | Test F1:0.4851 | Test Recall:0.4851 | Test Precision:0.4851 | Best Test Accuracy: 48.515% | Best Test AUC:0.4580 | Best Test Sensitivity:1.0000 | Best Test Specificity:0.0000 | LR:0.0000982
[2023-08-16 20:40:04][Train.py][L163][INFO]Epoch[2/100] | Train Loss: 0.705 | Train Accuracy: 52.643% | Test Loss: 0.696 | Test Accuracy: 47.525% | Test AUC:0.4564 | Test Sen:0.0000 | Test Spe:0.9231 | Test F1:0.4752 | Test Recall:0.4752 | Test Precision:0.4752 | Best Test Accuracy: 48.515% | Best Test AUC:0.4580 | Best Test Sensitivity:1.0000 | Best Test Specificity:0.0000 | LR:0.0000964
[2023-08-16 20:40:05][Train.py][L163][INFO]Epoch[3/100] | Train Loss: 0.703 | Train Accuracy: 50.110% | Test Loss: 0.700 | Test Accuracy: 46.535% | Test AUC:0.4600 | Test Sen:0.1429 | Test Spe:0.7692 | Test F1:0.4653 | Test Recall:0.4653 | Test Precision:0.4653 | Best Test Accuracy: 48.515% | Best Test AUC:0.4580 | Best Test Sensitivity:1.0000 | Best Test Specificity:0.0000 | LR:0.0000947
[2023-08-16 20:40:06][Train.py][L163][INFO]Epoch[4/100] | Train Loss: 0.706 | Train Accuracy: 50.220% | Test Loss: 0.699 | Test Accuracy: 46.535% | Test AUC:0.4596 | Test Sen:0.1020 | Test Spe:0.8077 | Test F1:0.4653 | Test Recall:0.4653 | Test Precision:0.4653 | Best Test Accuracy: 48.515% | Best Test AUC:0.4580 | Best Test Sensitivity:1.0000 | Best Test Specificity:0.0000 | LR:0.0000929
[2023-08-16 20:40:07][Train.py][L163][INFO]Epoch[5/100] | Train Loss: 0.701 | Train Accuracy: 48.789% | Test Loss: 0.708 | Test Accuracy: 48.515% | Test AUC:0.4608 | Test Sen:1.0000 | Test Spe:0.0000 | Test F1:0.4851 | Test Recall:0.4851 | Test Precision:0.4851 | Best Test Accuracy: 48.515% | Best Test AUC:0.4580 | Best Test Sensitivity:1.0000 | Best Test Specificity:0.0000 | LR:0.0000912
[2023-08-16 20:40:08][Train.py][L163][INFO]Epoch[6/100] | Train Loss: 0.702 | Train Accuracy: 48.018% | Test Loss: 0.703 | Test Accuracy: 49.505% | Test AUC:0.4580 | Test Sen:0.2449 | Test Spe:0.7308 | Test F1:0.4950 | Test Recall:0.4950 | Test Precision:0.4950 | Best Test Accuracy: 49.505% | Best Test AUC:0.4580 | Best Test Sensitivity:0.2449 | Best Test Specificity:0.7308 | LR:0.0000895
[2023-08-16 20:40:09][Train.py][L163][INFO]Epoch[7/100] | Train Loss: 0.693 | Train Accuracy: 52.533% | Test Loss: 0.699 | Test Accuracy: 48.515% | Test AUC:0.4541 | Test Sen:0.0204 | Test Spe:0.9231 | Test F1:0.4851 | Test Recall:0.4851 | Test Precision:0.4851 | Best Test Accuracy: 49.505% | Best Test AUC:0.4580 | Best Test Sensitivity:0.2449 | Best Test Specificity:0.7308 | LR:0.0000878
[2023-08-16 20:40:10][Train.py][L163][INFO]Epoch[8/100] | Train Loss: 0.702 | Train Accuracy: 52.643% | Test Loss: 0.704 | Test Accuracy: 47.525% | Test AUC:0.4549 | Test Sen:0.0204 | Test Spe:0.9038 | Test F1:0.4752 | Test Recall:0.4752 | Test Precision:0.4752 | Best Test Accuracy: 49.505% | Best Test AUC:0.4580 | Best Test Sensitivity:0.2449 | Best Test Specificity:0.7308 | LR:0.0000862
[2023-08-16 20:40:11][Train.py][L163][INFO]Epoch[9/100] | Train Loss: 0.702 | Train Accuracy: 51.432% | Test Loss: 0.709 | Test Accuracy: 48.515% | Test AUC:0.4678 | Test Sen:1.0000 | Test Spe:0.0000 | Test F1:0.4851 | Test Recall:0.4851 | Test Precision:0.4851 | Best Test Accuracy: 49.505% | Best Test AUC:0.4580 | Best Test Sensitivity:0.2449 | Best Test Specificity:0.7308 | LR:0.0000845
[2023-08-16 20:40:12][Train.py][L163][INFO]Epoch[10/100] | Train Loss: 0.688 | Train Accuracy: 53.744% | Test Loss: 0.707 | Test Accuracy: 47.525% | Test AUC:0.4572 | Test Sen:0.8163 | Test Spe:0.1538 | Test F1:0.4752 | Test Recall:0.4752 | Test Precision:0.4752 | Best Test Accuracy: 49.505% | Best Test AUC:0.4580 | Best Test Sensitivity:0.2449 | Best Test Specificity:0.7308 | LR:0.0000829
[2023-08-16 20:40:13][Train.py][L163][INFO]Epoch[11/100] | Train Loss: 0.690 | Train Accuracy: 53.634% | Test Loss: 0.707 | Test Accuracy: 44.554% | Test AUC:0.4517 | Test Sen:0.1429 | Test Spe:0.7308 | Test F1:0.4455 | Test Recall:0.4455 | Test Precision:0.4455 | Best Test Accuracy: 49.505% | Best Test AUC:0.4580 | Best Test Sensitivity:0.2449 | Best Test Specificity:0.7308 | LR:0.0000813
