[2023-08-16 22:08:33][__main__.py][L41][INFO]dataset:
  name: fc_large
  batch_size: 16
  train_set: 0.9
  test_set: 0.1
  fc_path: /mnt/ssd1/mehul_data/research/fc_large_data.npy
  node_sz: 400
  node_feature_sz: 400
  num_classes: 2
  perc_edges: 100
  node: fc
model:
  name: GraphSAGE
  num_layers: 2
  hidden_size: 64
  dropout: 0.5
  readout: mean
  edge_percentage: 0.1
optimizer:
- name: Adam
  lr: 0.0001
  match_rule: None
  except_rule: None
  no_weight_decay: false
  weight_decay: 0.0001
  lr_scheduler:
    mode: poly
    base_lr: 0.0001
    target_lr: 1.0e-05
    decay_factor: 0.1
    milestones:
    - 0.3
    - 0.6
    - 0.9
    poly_power: 2.0
    lr_decay: 0.98
    warm_up_from: 0.0
    warm_up_steps: 0
training:
  name: Train
  epochs: 100
  l2: 0.0
log_path: result
repeat_time: 2
device: cuda:0
is_wandb: false
project: asd-graph

[2023-08-16 22:08:33][__init__.py][L15][INFO]cfg.dataset.name: fc_large
[2023-08-16 22:08:42][optimizer.py][L66][INFO]Parameters [normal] length [10]
[2023-08-16 22:08:42][__init__.py][L25][INFO]Training: Train
[2023-08-16 22:08:42][Train.py][L35][INFO]#model params: 1698049
[2023-08-16 22:08:44][Train.py][L163][INFO]Epoch[1/100] | Train Loss: 0.702 | Train Accuracy: 51.096% | Test Loss: 0.664 | Test Accuracy: 64.634% | Test AUC:0.7291 | Test Sen:0.5333 | Test Spe:0.7838 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 64.634% | Best Test AUC:0.7291 | Best Test Sensitivity:0.5333 | Best Test Specificity:0.7838 | LR:0.0000982
[2023-08-16 22:08:46][Train.py][L163][INFO]Epoch[2/100] | Train Loss: 0.626 | Train Accuracy: 69.726% | Test Loss: 0.614 | Test Accuracy: 62.195% | Test AUC:0.7892 | Test Sen:0.9778 | Test Spe:0.1892 | Test F1:0.6220 | Test Recall:0.6220 | Test Precision:0.6220 | Best Test Accuracy: 64.634% | Best Test AUC:0.7291 | Best Test Sensitivity:0.5333 | Best Test Specificity:0.7838 | LR:0.0000964
[2023-08-16 22:08:48][Train.py][L163][INFO]Epoch[3/100] | Train Loss: 0.579 | Train Accuracy: 68.493% | Test Loss: 0.642 | Test Accuracy: 65.854% | Test AUC:0.7580 | Test Sen:0.4444 | Test Spe:0.9189 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 65.854% | Best Test AUC:0.7580 | Best Test Sensitivity:0.4444 | Best Test Specificity:0.9189 | LR:0.0000947
[2023-08-16 22:08:50][Train.py][L163][INFO]Epoch[4/100] | Train Loss: 0.487 | Train Accuracy: 79.589% | Test Loss: 0.605 | Test Accuracy: 67.073% | Test AUC:0.7646 | Test Sen:0.5778 | Test Spe:0.7838 | Test F1:0.6707 | Test Recall:0.6707 | Test Precision:0.6707 | Best Test Accuracy: 67.073% | Best Test AUC:0.7646 | Best Test Sensitivity:0.5778 | Best Test Specificity:0.7838 | LR:0.0000929
[2023-08-16 22:08:52][Train.py][L163][INFO]Epoch[5/100] | Train Loss: 0.426 | Train Accuracy: 82.603% | Test Loss: 0.620 | Test Accuracy: 67.073% | Test AUC:0.7562 | Test Sen:0.6000 | Test Spe:0.7568 | Test F1:0.6707 | Test Recall:0.6707 | Test Precision:0.6707 | Best Test Accuracy: 67.073% | Best Test AUC:0.7646 | Best Test Sensitivity:0.5778 | Best Test Specificity:0.7838 | LR:0.0000912
[2023-08-16 22:08:54][Train.py][L163][INFO]Epoch[6/100] | Train Loss: 0.357 | Train Accuracy: 87.260% | Test Loss: 0.627 | Test Accuracy: 67.073% | Test AUC:0.7405 | Test Sen:0.7333 | Test Spe:0.5946 | Test F1:0.6707 | Test Recall:0.6707 | Test Precision:0.6707 | Best Test Accuracy: 67.073% | Best Test AUC:0.7646 | Best Test Sensitivity:0.5778 | Best Test Specificity:0.7838 | LR:0.0000895
[2023-08-16 22:08:55][Train.py][L163][INFO]Epoch[7/100] | Train Loss: 0.297 | Train Accuracy: 90.000% | Test Loss: 0.668 | Test Accuracy: 65.854% | Test AUC:0.7381 | Test Sen:0.6222 | Test Spe:0.7027 | Test F1:0.6585 | Test Recall:0.6585 | Test Precision:0.6585 | Best Test Accuracy: 67.073% | Best Test AUC:0.7646 | Best Test Sensitivity:0.5778 | Best Test Specificity:0.7838 | LR:0.0000878
[2023-08-16 22:08:57][Train.py][L163][INFO]Epoch[8/100] | Train Loss: 0.242 | Train Accuracy: 93.425% | Test Loss: 0.751 | Test Accuracy: 67.073% | Test AUC:0.7159 | Test Sen:0.6444 | Test Spe:0.7027 | Test F1:0.6707 | Test Recall:0.6707 | Test Precision:0.6707 | Best Test Accuracy: 67.073% | Best Test AUC:0.7646 | Best Test Sensitivity:0.5778 | Best Test Specificity:0.7838 | LR:0.0000862
[2023-08-16 22:08:59][Train.py][L163][INFO]Epoch[9/100] | Train Loss: 0.186 | Train Accuracy: 94.932% | Test Loss: 0.782 | Test Accuracy: 67.073% | Test AUC:0.7147 | Test Sen:0.6667 | Test Spe:0.6757 | Test F1:0.6707 | Test Recall:0.6707 | Test Precision:0.6707 | Best Test Accuracy: 67.073% | Best Test AUC:0.7646 | Best Test Sensitivity:0.5778 | Best Test Specificity:0.7838 | LR:0.0000845
[2023-08-16 22:09:01][Train.py][L163][INFO]Epoch[10/100] | Train Loss: 0.150 | Train Accuracy: 97.260% | Test Loss: 0.883 | Test Accuracy: 63.415% | Test AUC:0.6961 | Test Sen:0.6444 | Test Spe:0.6216 | Test F1:0.6341 | Test Recall:0.6341 | Test Precision:0.6341 | Best Test Accuracy: 67.073% | Best Test AUC:0.7646 | Best Test Sensitivity:0.5778 | Best Test Specificity:0.7838 | LR:0.0000829
[2023-08-16 22:09:03][Train.py][L163][INFO]Epoch[11/100] | Train Loss: 0.115 | Train Accuracy: 99.041% | Test Loss: 0.978 | Test Accuracy: 64.634% | Test AUC:0.6955 | Test Sen:0.6222 | Test Spe:0.6757 | Test F1:0.6463 | Test Recall:0.6463 | Test Precision:0.6463 | Best Test Accuracy: 67.073% | Best Test AUC:0.7646 | Best Test Sensitivity:0.5778 | Best Test Specificity:0.7838 | LR:0.0000813
