[2023-08-16 22:25:41][__main__.py][L41][INFO]dataset:
  name: fc_small
  batch_size: 16
  train_set: 0.9
  test_set: 0.1
  fc_path: /mnt/ssd1/mehul_data/research/fc_small_data.npy
  node_sz: 400
  node_feature_sz: 400
  num_classes: 2
  perc_edges: 100
  node: fc
model:
  name: GraphSAGE
  num_layers: 2
  hidden_size: 64
  dropout: 0.5
  readout: mean
  edge_percentage: 0.1
optimizer:
- name: Adam
  lr: 0.0001
  match_rule: None
  except_rule: None
  no_weight_decay: false
  weight_decay: 0.0001
  lr_scheduler:
    mode: poly
    base_lr: 0.0001
    target_lr: 1.0e-05
    decay_factor: 0.1
    milestones:
    - 0.3
    - 0.6
    - 0.9
    poly_power: 2.0
    lr_decay: 0.98
    warm_up_from: 0.0
    warm_up_steps: 0
training:
  name: Train
  epochs: 100
  l2: 0.0
log_path: result
repeat_time: 2
device: cuda:0
is_wandb: true
project: asd-graph
[2023-08-16 22:25:41][__init__.py][L15][INFO]cfg.dataset.name: fc_small
GraphSAGE(
  (convs): ModuleList(
    (0): SAGEConv(400, 64, aggr=mean)
    (1): SAGEConv(64, 64, aggr=mean)
  )
  (readout_lin): Linear(in_features=25600, out_features=64, bias=True)
  (lin): Linear(in_features=64, out_features=1, bias=True)
)
[2023-08-16 22:25:43][optimizer.py][L66][INFO]Parameters [normal] length [10]
[2023-08-16 22:25:43][__init__.py][L25][INFO]Training: Train
[2023-08-16 22:25:43][Train.py][L35][INFO]#model params: 1698049
Starting training...
[2023-08-16 22:25:43][Train.py][L163][INFO]Epoch[1/100] | Train Loss: 0.699 | Train Accuracy: 58.696% | Test Loss: 0.639 | Test Accuracy: 66.667% | Test AUC:0.9000 | Test Sen:0.8000 | Test Spe:0.5455 | Test F1:0.6667 | Test Recall:0.6667 | Test Precision:0.6667 | Best Test Accuracy: 66.667% | Best Test AUC:0.9000 | Best Test Sensitivity:0.8000 | Best Test Specificity:0.5455 | LR:0.0000982
[2023-08-16 22:25:43][Train.py][L163][INFO]Epoch[2/100] | Train Loss: 0.629 | Train Accuracy: 63.043% | Test Loss: 0.604 | Test Accuracy: 80.952% | Test AUC:0.8909 | Test Sen:0.7000 | Test Spe:0.9091 | Test F1:0.8095 | Test Recall:0.8095 | Test Precision:0.8095 | Best Test Accuracy: 80.952% | Best Test AUC:0.8909 | Best Test Sensitivity:0.7000 | Best Test Specificity:0.9091 | LR:0.0000964
[2023-08-16 22:25:44][Train.py][L163][INFO]Epoch[3/100] | Train Loss: 0.568 | Train Accuracy: 72.826% | Test Loss: 0.584 | Test Accuracy: 80.952% | Test AUC:0.8727 | Test Sen:0.9000 | Test Spe:0.7273 | Test F1:0.8095 | Test Recall:0.8095 | Test Precision:0.8095 | Best Test Accuracy: 80.952% | Best Test AUC:0.8909 | Best Test Sensitivity:0.7000 | Best Test Specificity:0.9091 | LR:0.0000947
[2023-08-16 22:25:44][Train.py][L163][INFO]Epoch[4/100] | Train Loss: 0.491 | Train Accuracy: 85.326% | Test Loss: 0.592 | Test Accuracy: 76.190% | Test AUC:0.8636 | Test Sen:1.0000 | Test Spe:0.5455 | Test F1:0.7619 | Test Recall:0.7619 | Test Precision:0.7619 | Best Test Accuracy: 80.952% | Best Test AUC:0.8909 | Best Test Sensitivity:0.7000 | Best Test Specificity:0.9091 | LR:0.0000929
[2023-08-16 22:25:44][Train.py][L163][INFO]Epoch[5/100] | Train Loss: 0.442 | Train Accuracy: 84.783% | Test Loss: 0.555 | Test Accuracy: 76.190% | Test AUC:0.8636 | Test Sen:0.9000 | Test Spe:0.6364 | Test F1:0.7619 | Test Recall:0.7619 | Test Precision:0.7619 | Best Test Accuracy: 80.952% | Best Test AUC:0.8909 | Best Test Sensitivity:0.7000 | Best Test Specificity:0.9091 | LR:0.0000912
[2023-08-16 22:25:45][Train.py][L163][INFO]Epoch[6/100] | Train Loss: 0.386 | Train Accuracy: 89.674% | Test Loss: 0.524 | Test Accuracy: 85.714% | Test AUC:0.8364 | Test Sen:0.9000 | Test Spe:0.8182 | Test F1:0.8571 | Test Recall:0.8571 | Test Precision:0.8571 | Best Test Accuracy: 85.714% | Best Test AUC:0.8364 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.8182 | LR:0.0000895
[2023-08-16 22:25:45][Train.py][L163][INFO]Epoch[7/100] | Train Loss: 0.331 | Train Accuracy: 89.674% | Test Loss: 0.545 | Test Accuracy: 76.190% | Test AUC:0.8273 | Test Sen:0.9000 | Test Spe:0.6364 | Test F1:0.7619 | Test Recall:0.7619 | Test Precision:0.7619 | Best Test Accuracy: 85.714% | Best Test AUC:0.8364 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.8182 | LR:0.0000878
[2023-08-16 22:25:46][Train.py][L163][INFO]Epoch[8/100] | Train Loss: 0.282 | Train Accuracy: 94.565% | Test Loss: 0.571 | Test Accuracy: 71.429% | Test AUC:0.8182 | Test Sen:0.9000 | Test Spe:0.5455 | Test F1:0.7143 | Test Recall:0.7143 | Test Precision:0.7143 | Best Test Accuracy: 85.714% | Best Test AUC:0.8364 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.8182 | LR:0.0000862
[2023-08-16 22:25:46][Train.py][L163][INFO]Epoch[9/100] | Train Loss: 0.241 | Train Accuracy: 96.196% | Test Loss: 0.574 | Test Accuracy: 71.429% | Test AUC:0.8182 | Test Sen:0.9000 | Test Spe:0.5455 | Test F1:0.7143 | Test Recall:0.7143 | Test Precision:0.7143 | Best Test Accuracy: 85.714% | Best Test AUC:0.8364 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.8182 | LR:0.0000845
[2023-08-16 22:25:46][Train.py][L163][INFO]Epoch[10/100] | Train Loss: 0.194 | Train Accuracy: 99.457% | Test Loss: 0.581 | Test Accuracy: 66.667% | Test AUC:0.8273 | Test Sen:0.9000 | Test Spe:0.4545 | Test F1:0.6667 | Test Recall:0.6667 | Test Precision:0.6667 | Best Test Accuracy: 85.714% | Best Test AUC:0.8364 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.8182 | LR:0.0000829
[2023-08-16 22:25:47][Train.py][L163][INFO]Epoch[11/100] | Train Loss: 0.166 | Train Accuracy: 98.913% | Test Loss: 0.582 | Test Accuracy: 66.667% | Test AUC:0.8091 | Test Sen:0.9000 | Test Spe:0.4545 | Test F1:0.6667 | Test Recall:0.6667 | Test Precision:0.6667 | Best Test Accuracy: 85.714% | Best Test AUC:0.8364 | Best Test Sensitivity:0.9000 | Best Test Specificity:0.8182 | LR:0.0000813
