2023-08-16 22:25:36,788 INFO    MainThread:387216 [wandb_setup.py:_flush():76] Configure stats pid to 387216
2023-08-16 22:25:36,789 INFO    MainThread:387216 [wandb_setup.py:_flush():76] Loading settings from /home/mehul/.config/wandb/settings
2023-08-16 22:25:36,789 INFO    MainThread:387216 [wandb_setup.py:_flush():76] Loading settings from /home/mehul/asd_graph/baselines/multirun/2023-08-16/22-22-27/0/wandb/settings
2023-08-16 22:25:36,789 INFO    MainThread:387216 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-08-16 22:25:36,789 INFO    MainThread:387216 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-08-16 22:25:36,789 WARNING MainThread:387216 [wandb_setup.py:_flush():76] Could not find program at -m source.__main__
2023-08-16 22:25:36,789 INFO    MainThread:387216 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': None, 'program': '-m source.__main__'}
2023-08-16 22:25:36,789 INFO    MainThread:387216 [wandb_init.py:_log_setup():507] Logging user logs to /home/mehul/asd_graph/baselines/multirun/2023-08-16/22-22-27/1/wandb/run-20230816_222536-e7sfpb3l/logs/debug.log
2023-08-16 22:25:36,789 INFO    MainThread:387216 [wandb_init.py:_log_setup():508] Logging internal logs to /home/mehul/asd_graph/baselines/multirun/2023-08-16/22-22-27/1/wandb/run-20230816_222536-e7sfpb3l/logs/debug-internal.log
2023-08-16 22:25:36,789 INFO    MainThread:387216 [wandb_init.py:init():547] calling init triggers
2023-08-16 22:25:36,789 INFO    MainThread:387216 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-08-16 22:25:36,789 INFO    MainThread:387216 [wandb_init.py:init():595] starting backend
2023-08-16 22:25:36,789 INFO    MainThread:387216 [wandb_init.py:init():599] setting up manager
2023-08-16 22:25:36,792 INFO    MainThread:387216 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-08-16 22:25:36,793 INFO    MainThread:387216 [wandb_init.py:init():605] backend started and connected
2023-08-16 22:25:36,794 INFO    MainThread:387216 [wandb_init.py:init():695] updated telemetry
2023-08-16 22:25:36,797 INFO    MainThread:387216 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-08-16 22:25:38,259 INFO    MainThread:387216 [wandb_run.py:_on_init():2176] communicating current version
2023-08-16 22:25:38,366 INFO    MainThread:387216 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.15.8 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-08-16 22:25:38,366 INFO    MainThread:387216 [wandb_init.py:init():782] starting run threads in backend
2023-08-16 22:25:40,999 INFO    MainThread:387216 [wandb_run.py:_console_start():2157] atexit reg
2023-08-16 22:25:40,999 INFO    MainThread:387216 [wandb_run.py:_redirect():2012] redirect: 3
2023-08-16 22:25:40,999 INFO    MainThread:387216 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-08-16 22:25:40,999 INFO    MainThread:387216 [wandb_run.py:_redirect():2102] Redirects installed.
2023-08-16 22:25:41,000 INFO    MainThread:387216 [wandb_init.py:init():824] run started, returning control to user process
2023-08-16 22:26:18,279 INFO    MainThread:387216 [wandb_run.py:_finish():1892] finishing run asd-graph/asd-graph/e7sfpb3l
2023-08-16 22:26:18,279 INFO    MainThread:387216 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 0
2023-08-16 22:26:18,279 INFO    MainThread:387216 [wandb_run.py:_restore():2109] restore
2023-08-16 22:26:18,279 INFO    MainThread:387216 [wandb_run.py:_restore():2115] restore done
2023-08-16 22:26:23,268 INFO    MainThread:387216 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-08-16 22:26:23,269 INFO    MainThread:387216 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-08-16 22:26:23,270 INFO    MainThread:387216 [wandb_run.py:_footer_sync_info():3434] logging synced files
